sku,title,category,sub_category,condition,platform,price_bin,quantity,weight_oz,image_url,buy_link
RG-0036,Pac-Man - Atari 8-Bit Computer Cartridge (CXL4022),Retro Games,Atari 400,Loose,Atari 400,8,1,5,https://richmondgeneral.github.io/items/RG-0036/hero.png,https://square.link/u/xeBhhaA7
RG-0037,Centipede - Atari 8-Bit Computer Cartridge (CXL4020),Retro Games,Atari 400,Loose,Atari 400,8,2,5,https://richmondgeneral.github.io/items/RG-0037/hero.png,https://square.link/u/91MVsHaO
RG-0038,Qix - Atari 8-Bit Computer Cartridge (CXL4027),Retro Games,Atari 400,Loose,Atari 400,10,1,5,https://richmondgeneral.github.io/items/RG-0038/hero.png,https://square.link/u/YfPsBwRA
RG-0039,Super Breakout - Atari 8-Bit Computer Cartridge (CXL4006),Retro Games,Atari 400,Loose,Atari 400,13,1,5,https://richmondgeneral.github.io/items/RG-0039/hero.png,https://square.link/u/noThPQfE
RG-0040,Atari Logo - Atari 8-Bit Computer Cartridge (RX8032),Retro Games,Atari 400,Loose,Atari 400,18,1,5,https://richmondgeneral.github.io/items/RG-0040/hero.png,https://square.link/u/PIRSc9FZ
RG-0041,Typo Attack - Atari 8-Bit Computer Cartridge (RX8057),Retro Games,Atari 400,Loose,Atari 400,12,1,5,https://richmondgeneral.github.io/items/RG-0041/hero.png,https://square.link/u/1olbw4Y0
RG-0042,KoalaPainter - Atari 8-Bit Computer Cartridge (00315-001),Retro Games,Atari 400,Loose,Atari 400,18,1,5,https://richmondgeneral.github.io/items/RG-0042/hero.png,https://square.link/u/BaJ52YQr
RG-0043,Star Wars The Arcade Game - Atari 8-Bit Computer Cartridge ((Parker Bros)),Retro Games,Atari 400,Loose,Atari 400,28,1,5,https://richmondgeneral.github.io/items/RG-0043/hero.png,https://square.link/u/xGyM0vFD
RG-0044,Donkey Kong - Atari 8-Bit Computer Cartridge (RX8031),Retro Games,Atari 400,Loose,Atari 400,17,1,5,https://richmondgeneral.github.io/items/RG-0044/hero.png,https://square.link/u/Z4ndM7ur
RG-0045,E.T. Phone Home - Atari 8-Bit Computer Cartridge (RX8030),Retro Games,Atari 400,Loose,Atari 400,10,1,5,https://richmondgeneral.github.io/items/RG-0045/hero.png,https://square.link/u/LiqNJVos
RG-0046,Missile Command - Atari 8-Bit Computer Cartridge (CXL4012),Retro Games,Atari 400,Loose,Atari 400,7,2,5,https://richmondgeneral.github.io/items/RG-0046/hero.png,https://square.link/u/uO7lB4Zo
RG-0047,Zaxxon - Atari 8-Bit Computer Cartridge ((Sega)),Retro Games,Atari 400,Loose,Atari 400,26,1,5,https://richmondgeneral.github.io/items/RG-0047/hero.png,https://square.link/u/FgCRmw5K
RG-0048,Defender - Atari 8-Bit Computer Cartridge (CXL4025),Retro Games,Atari 400,Loose,Atari 400,12,1,5,https://richmondgeneral.github.io/items/RG-0048/hero.png,https://square.link/u/pCFyLvIE
RG-0049,Dig Dug - Atari 8-Bit Computer Cartridge (RX8026),Retro Games,Atari 400,Loose,Atari 400,14,1,5,https://richmondgeneral.github.io/items/RG-0049/hero.png,https://square.link/u/BHXPWFjT
RG-0050,Atari Educational System - Atari 8-Bit Computer Cartridge (CXL4001),Retro Games,Atari 400,Loose,Atari 400,25,1,5,https://richmondgeneral.github.io/items/RG-0050/hero.png,https://square.link/u/LPJ58rAT
RG-0051,Space Invaders - Atari 8-Bit Computer Cartridge (CXL4008),Retro Games,Atari 400,Loose,Atari 400,13,1,5,https://richmondgeneral.github.io/items/RG-0051/hero.png,https://square.link/u/meE4maGK
